Oleaceae Chionanthus,fringetree,w,clay,full sun,white,moist,20,20,11,Laurel Sphinx moth
Asteraceae Chrysopsis,golden aster,h,sandy,full sun,yellow,dry,24,6,3,Gorgone Checkerspot
Apiaceae Cicuta,water hemlock,h,loamy,partial shade,white,wet,3,6,6,Black Swallowtail
Asteraceae Cirsium,thistle,h,clay,full sun,purple,dry,10,6,26,Gorgone Checkerspot
Ranunculaceae Clematis,clematis,h,loamy,partial shade,purple,moist,6,6,10,Whitemarked Tussock Moth
Clethraceae Clethra,summersweet,w,sandy,full sun,white,wet,8,20,10,Zigzag Herpetogramma
Fabaceae Clitoria,pigeonwings,h,clay,full shade,purple,moist,4,6,3,Silver-spotted Skipper
Lamiaceae Collinsonia,stoneroot,h,loamy,partial shade,green,moist,2,6,4,Summer Azure butterfly
Santalaceae Comandra,bastard toadflax,h,sandy,full sun,white,dry,50,6,4,common buckeye
Myricaceae Comptonia,sweet fern,w,loamy,full sun,green,moist,3,20,47,Summer Azure butterfly
Asteraceae Coreopsis,tickseed,h,sandy,full sun,yellow,moist,24,6,5,Gorgone Checkerspot
Cornaceae Cornus,dogwood,w,clay,partial,white,moist,25,20,103,Walnut Sphinx moth
Betulaceae Corylus,hazelnut,w,loamy,full sun,green,moist,10,20,102,Red-spotted Admiral butterfly
Crassulaceae Crassula,pygmyweed,h,sandy,full sun,red,moist,4,6,1,Yellowstriped Armyworm Moth
Rosaceae Crataegus,hawthorn,w,clay,full sun,pink,moist,7,20,123,Coral Hairstreak
Cistaceae Crocanthemum,Frostweed,w,any,any,white,moist,3,20,3,Black-Shaded Platynota moth
Fabaceae Crotalaria,rattleweed,h,sandy,partial shade,yellow,moist,1,6,6,Silver-spotted Skipper
Euphorbiaceae Croton,firebush,h,sandy,any,orange,moist,12,6,6,Ello sphinx
Apiaceae Cryptotaenia,honewort,h,loamy,full shade,white,wet,1,6,1,Black Swallowtail
Sempervirens Lonicera,trumpet honeysuckle,w,any,partial shade,yellow,moist,20,20,50,Spring Azure butterfly
